source,titre,prix_eur,surface_m2,quartier,type_bien,description,url,date_scrape
SeLoger,1 / 9 C 315 000 € 2 944 €/m² Découvrez les options de financement Appartement à vendre 5 pièces · 3 chambres · 107 m² · Étage 1/20 Toulon (83000) Exclusivité CA,315000.0,107.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/256349301.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.429994+00:00
SeLoger,1 / 7 C 265 000 € 3 011 €/m² Investissez dans l'immobilier Appartement à vendre 4 pièces · 2 chambres · 88 m² · 8ème étage Toulon (83000) GAMBETTA IMMOBILIER,265000.0,88.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/257531623.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.429994+00:00
SeLoger,1 / 6 D 250 000 € 3 846 €/m² Découvrez les options de financement Appartement à vendre 3 pièces · 2 chambres · 65 m² · RDC Toulon (83000) GAMBETTA IMMOBILIER,250000.0,65.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/254284673.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.429994+00:00
SeLoger,"1 / 9 D 125 000 € 5 682 €/m² Découvrez les options de financement Appartement à vendre 2 pièces · 1 chambre · 22 m² · RDC/2 La Palasse, Toulon (83100) Exclusivi",125000.0,22.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/la-palasse/261885905.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.429994+00:00
SeLoger,"1 / 10 A 377 000 € 5 984 €/m² Découvrez les options de financement Appartement à vendre - Première occupation 3 pièces · 2 chambres · 63 m² · RDC/1 Cap Brun , T",377000.0,63.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/cap-brun/255003719.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.429994+00:00
SeLoger,"1 / 7 B 154 000 € 2 299 €/m² Découvrez les options de financement Appartement à vendre 3 pièces · 2 chambres · 67 m² · 1er étage Champ de Mars, Toulon (83000) C",154000.0,67.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/champ-de-mars/250733381.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.429994+00:00
SeLoger,"1 / 8 D 155 000 € 2 411 €/m² Découvrez les options de financement Appartement à vendre 3 pièces · 2 chambres · 64,3 m² · 2ème étage Toulon (83000) CENTURY 21 OU",155000.0,64.3,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/262085355.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.429994+00:00
SeLoger,"1 / 8 C 128 000 € 3 879 €/m² Découvrez les options de financement Appartement à vendre 2 pièces · 1 chambre · 33 m² · RDC La Serinette, Toulon (83000) Exclusivi",128000.0,33.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/la-serinette/260569711.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.429994+00:00
SeLoger,"1 / 9 G 149 000 € 2 443 €/m² Découvrez les options de financement Appartement à vendre 3 pièces · 1 chambre · 61 m² · Étage 6/6 Place d'Armes, Toulon (83000) RO",149000.0,61.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/place-d-armes/254720877.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.429994+00:00
SeLoger,"1 / 10 C 215 000 € 2 560 €/m² Découvrez les options de financement Appartement à vendre 4 pièces · 3 chambres · 84 m² · Étage 3/3 Les Routes, Toulon (83200) Age",215000.0,84.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/les-routes/243055029.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.429994+00:00
SeLoger,"1 / 13 D 259 000 € 3 597 €/m² Découvrez les options de financement Appartement à vendre 4 pièces · 2 chambres · 72 m² · Étage 2/3 Le Faron-Fort-Rouge, Toulon (8",259000.0,72.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/le-faron-fort-rouge/251650393.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.429994+00:00
SeLoger,"1 / 6 D 285 000 € 2 524 €/m² Découvrez les options de financement Appartement à vendre 6 pièces · 4 chambres · 112,9 m² · Étage 1/3 Le Faron-Fort-Rouge, Toulon ",285000.0,112.9,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/le-faron-fort-rouge/262041263.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.429994+00:00
