date_mutation,nature_mutation,valeur_fonciere,prix_m2,code_postal,nom_commune,code_departement,code_commune,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain
2024-03-08,Vente,55417.0,4262.846153846154,83000,TOULON,83,83137,Appartement,13,1,
2024-03-08,Vente,140000.0,3414.6341463414633,83000,TOULON,83,83137,Appartement,41,2,50.0
2024-03-09,Vente,66000.0,1650.0,83000,TOULON,83,83137,Appartement,40,2,
2024-03-11,Vente,85000.0,3695.6521739130435,83000,TOULON,83,83137,Appartement,23,1,
2024-03-11,Vente,102000.0,2040.0,83200,TOULON,83,83137,Appartement,50,2,
2024-03-11,Vente,113000.0,1852.4590163934427,83200,TOULON,83,83137,Appartement,61,3,
2024-03-11,Vente,328000.0,3452.6315789473683,83000,TOULON,83,83137,Appartement,95,3,
2024-03-11,Vente,235750.0,5750.0,83100,TOULON,83,83137,Appartement,41,2,
2024-03-11,Vente,226000.0,2935.064935064935,83100,TOULON,83,83137,Appartement,77,4,
2024-03-11,Vente,370000.0,3592.233009708738,83100,TOULON,83,83137,Maison,103,4,
2024-03-11,Vente,68000.0,2428.5714285714284,83100,TOULON,83,83137,Appartement,28,2,
2024-03-11,Vente,28000.0,1647.0588235294117,83200,TOULON,83,83137,Appartement,17,1,
2024-03-11,Vente,64000.0,2782.608695652174,83000,TOULON,83,83137,Appartement,23,1,
2024-03-12,Vente,120000.0,2105.2631578947367,83000,TOULON,83,83137,Appartement,57,2,
2024-03-12,Vente,179000.0,2594.2028985507245,83000,TOULON,83,83137,Appartement,69,3,
2024-03-12,Vente,92720.0,4214.545454545455,83200,TOULON,83,83137,Appartement,22,1,
2024-03-12,Vente,105000.0,5000.0,83000,TOULON,83,83137,Appartement,21,1,
2024-03-12,Vente,130000.0,1666.6666666666667,83000,TOULON,83,83137,Appartement,78,3,
2024-03-12,Vente,144000.0,3000.0,83000,TOULON,83,83137,Appartement,48,3,
2024-03-12,Vente,121250.0,2886.904761904762,83200,TOULON,83,83137,Appartement,42,1,
2024-03-12,Vente,121000.0,2372.549019607843,83000,TOULON,83,83137,Appartement,51,2,
2024-03-12,Vente,138500.0,4616.666666666667,83000,TOULON,83,83137,Appartement,30,1,
2024-03-13,Vente,173000.0,2621.212121212121,83100,TOULON,83,83137,Appartement,66,3,
2024-03-13,Vente,286000.0,5836.734693877551,83100,TOULON,83,83137,Maison,49,3,204.0
2024-03-13,Vente,300000.0,4615.384615384615,83200,TOULON,83,83137,Maison,65,3,284.0
2024-03-13,Vente,139900.0,2690.3846153846152,83200,TOULON,83,83137,Appartement,52,3,
2024-03-13,Vente,474876.0,6088.153846153846,83200,TOULON,83,83137,Maison,78,3,608.0
2024-03-13,Vente,258000.0,2687.5,83000,TOULON,83,83137,Appartement,96,5,
2024-03-13,Vente,105000.0,2234.0425531914893,83000,TOULON,83,83137,Appartement,47,2,
2024-03-14,Vente,115000.0,2395.8333333333335,83200,TOULON,83,83137,Appartement,48,2,
2024-03-14,Vente,136000.0,2566.0377358490564,83000,TOULON,83,83137,Appartement,53,3,
2024-03-14,Vente,125000.0,1838.235294117647,83000,TOULON,83,83137,Appartement,68,4,
2024-03-14,Vente,230000.0,2555.5555555555557,83200,TOULON,83,83137,Appartement,90,4,
2024-03-14,Vente,117000.0,1828.125,83200,TOULON,83,83137,Appartement,64,4,
2024-03-14,Vente,280000.0,2745.098039215686,83000,TOULON,83,83137,Appartement,102,5,
2024-03-14,Vente,153000.0,2353.846153846154,83100,TOULON,83,83137,Appartement,65,4,
2024-03-14,Vente,100000.0,1851.851851851852,83000,TOULON,83,83137,Appartement,54,3,
2024-03-14,Vente,805000.0,4423.076923076923,83200,TOULON,83,83137,Maison,182,5,800.0
2024-03-14,Vente,95000.0,1696.4285714285713,83100,TOULON,83,83137,Appartement,56,3,
2024-03-14,Vente,115000.0,1742.4242424242425,83000,TOULON,83,83137,Appartement,66,4,
2024-03-14,Vente,39000.0,1218.75,83100,TOULON,83,83137,Appartement,32,2,
2024-03-15,Vente,122000.0,2392.156862745098,83200,TOULON,83,83137,Appartement,51,3,
2024-03-15,Vente,191000.0,2893.939393939394,83100,TOULON,83,83137,Appartement,66,3,
2024-03-15,Vente,157000.0,2492.063492063492,83000,TOULON,83,83137,Appartement,63,3,
2024-03-15,Vente,537000.0,2826.315789473684,83200,TOULON,83,83137,Maison,190,8,
2024-03-15,Vente,150000.0,2205.8823529411766,83200,TOULON,83,83137,Appartement,68,3,
2024-03-15,Vente,604000.0,9741.935483870968,83000,TOULON,83,83137,Maison,62,3,595.0
2024-03-15,Vente,109000.0,2224.4897959183672,83200,TOULON,83,83137,Appartement,49,3,
2024-03-18,Vente,125000.0,1865.6716417910447,83000,TOULON,83,83137,Appartement,67,3,
2024-03-18,Vente,60000.0,2400.0,83200,TOULON,83,83137,Appartement,25,1,
